"gid";"id_grid";"dir";"coor";"x";"y"
8600;3091;"A 5 O 22 O 88";"3.452837039638,-76.565521013403";-76.565521013403;3.452837039638
8601;3091;"A 5 O 22A O 73";"3.452438936508,-76.565245124409";-76.565245124409;3.452438936508
8602;3091;"A 5 O 22 O 80";"3.452810039073,-76.56537034075";-76.56537034075;3.452810039073
8603;3091;"A 5 O 22 O 82";"3.452803776213,-76.565295843581";-76.565295843581;3.452803776213
8604;3091;"A 5 O 22 O 78";"3.452789057288,-76.565220585212";-76.565220585212;3.452789057288
8605;3091;"A 5 O 22 O 74";"3.452780175391,-76.565134342226";-76.565134342226;3.452780175391
8606;3091;"A 5 O 22 O 70";"3.452758876095,-76.565052614471";-76.565052614471;3.452758876095
8607;3091;"A 5 O 22 O 94";"3.452851513712,-76.565597478417";-76.565597478417;3.452851513712
8608;3091;"A 5 O 22A O 79";"3.45251143292,-76.565356968857";-76.565356968857;3.45251143292
8609;3091;"A 5 O 22A O 95";"3.452569242082,-76.565641168231";-76.565641168231;3.452569242082
8610;3091;"A 5 O 22A O 87";"3.452494784626,-76.565571181894";-76.565571181894;3.452494784626
8611;3091;"A 5 O 22A O 85";"3.452532689285,-76.56547355345";-76.56547355345;3.452532689285
8612;3091;"A 5 O 22A O 69";"3.452431413895,-76.56516630368";-76.56516630368;3.452431413895
8613;3091;"A 5 O 22 O 58";"3.452735115556,-76.564898498952";-76.564898498952;3.452735115556
8614;3091;"A 5 O 22A O 83";"3.452515770051,-76.56540349302";-76.56540349302;3.452515770051
8615;3091;"A 5 O 23 O 18";"3.452893869756,-76.565905074759";-76.565905074759;3.452893869756
8616;3091;"A 5 O 22A O 75";"3.452485826261,-76.565305450434";-76.565305450434;3.452485826261
8617;3091;"A 5 O 23 O 12";"3.452880373305,-76.565846508965";-76.565846508965;3.452880373305
8618;3091;"A 5 O 23 O 08";"3.452877771597,-76.565806559212";-76.565806559212;3.452877771597
8619;3091;"A 5 O 22A O 59";"3.452418391288,-76.565006781415";-76.565006781415;3.452418391288
8620;3091;"A 5 O 22A O 61";"3.452418391288,-76.565006781415";-76.565006781415;3.452418391288
8621;3091;"A 4 O 19 O 253";"3.452446009915,-76.565695575282";-76.565695575282;3.452446009915
8622;3091;"A 4 O 19 O 255";"3.452465217049,-76.565759626801";-76.565759626801;3.452465217049
8623;3091;"A 6 O 22A O 73";"3.453003221306,-76.565284746055";-76.565284746055;3.453003221306
8624;3091;"C 23 O 5 O 27";"3.4530984715,-76.565756646823";-76.565756646823;3.4530984715
8625;3091;"C 23 O 5 O 36";"3.453131959713,-76.565522094364";-76.565522094364;3.453131959713
8626;3091;"C 23 O 5 O 33";"3.453150474672,-76.565759172569";-76.565759172569;3.453150474672
